timestamp,session_id,condition,task_id,trial_index,event_type,tool,item_type,n_points,notes
2026-01-20T11:21:06.842272,fdc66688-896f-4a8c-a288-e9ba185a75ce,,,,stroke_color_change,,,,
2026-01-20T11:21:06.843403,fdc66688-896f-4a8c-a288-e9ba185a75ce,,,,fill_color_change,,,,
2026-01-20T11:21:23.387098,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,,,test_start,,,,condition=H_ONLY;3_tasks_fixed_order
2026-01-20T11:21:23.388185,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,,,assistant_auto_toggle,,,,False
2026-01-20T11:21:23.388360,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,,,assistant_floating_toggle,,,,False
2026-01-20T11:21:23.388500,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,,,assistant_auto_toggle,,,,False
2026-01-20T11:21:23.388592,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,,,assistant_floating_toggle,,,,False
2026-01-20T11:21:23.400726,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,trial_start,,,,task=cat
2026-01-20T11:21:27.127973,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,tool_change,SELECT,,,
2026-01-20T11:21:30.060675,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,tool_change,ELLIPSE,,,
2026-01-20T11:21:31.108200,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,ellipse_start,ELLIPSE,,,
2026-01-20T11:21:33.577728,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,ellipse_end,ELLIPSE,QGraphicsEllipseItem,,"x=545.0,y=246.0,w=182.0,h=182.0"
2026-01-20T11:21:37.763270,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,fill_color_change,,,,
2026-01-20T11:21:39.110029,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,tool_change,ELLIPSE,,,
2026-01-20T11:21:42.228157,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,ellipse_start,ELLIPSE,,,
2026-01-20T11:21:45.344254,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,ellipse_end,ELLIPSE,QGraphicsEllipseItem,,"x=595.0,y=318.0,w=18.0,h=18.0"
2026-01-20T11:21:47.611538,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,ellipse_start,ELLIPSE,,,
2026-01-20T11:21:50.777876,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,ellipse_end,ELLIPSE,QGraphicsEllipseItem,,"x=669.0,y=317.0,w=18.0,h=17.0"
2026-01-20T11:21:51.993812,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,tool_change,SELECT,,,
2026-01-20T11:21:52.797295,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,select_press,SELECT,QGraphicsEllipseItem,,
2026-01-20T11:21:54.161202,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,item_moved,SELECT,,,
2026-01-20T11:21:58.044027,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,tool_change,PEN,,,
2026-01-20T11:21:59.129043,fdc66688-896f-4a8c-a288-e9ba185a75ce,H_ONLY,cat,1,pen_start,PEN,,,
