timestamp,session_id,condition,task_id,trial_index,event_type,tool,item_type,n_points,notes
2026-01-19T18:28:29.620446,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,stroke_color_change,,,,
2026-01-19T18:28:29.622034,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,fill_color_change,,,,
2026-01-19T18:28:46.301947,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,assistant_floating_toggle,,,,False
2026-01-19T18:28:46.697658,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,assistant_floating_toggle,,,,True
2026-01-19T18:29:02.658572,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,tool_change,SELECT,,,
2026-01-19T18:29:03.834272,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,select_press,SELECT,None,,
2026-01-19T18:29:04.134731,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,item_moved,SELECT,,,
2026-01-19T18:29:07.513755,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,tool_change,RECT,,,
2026-01-19T18:29:07.797202,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,rect_start,RECT,,,
2026-01-19T18:29:08.243888,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,rect_end,RECT,QGraphicsRectItem,,"x=-27.0,y=101.0,w=140.0,h=230.0"
2026-01-19T18:29:09.836674,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,tool_change,ELLIPSE,,,
2026-01-19T18:29:10.434213,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,ellipse_start,ELLIPSE,,,
2026-01-19T18:29:11.034798,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,ellipse_end,ELLIPSE,QGraphicsEllipseItem,,"x=18.0,y=58.0,w=185.0,h=256.0"
2026-01-19T18:29:12.197827,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,tool_change,ERASER,,,
2026-01-19T18:29:13.470387,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,erase,ERASER,QGraphicsEllipseItem,,
2026-01-19T18:29:14.422435,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,erase,ERASER,QGraphicsRectItem,,
2026-01-19T18:29:21.723871,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,erase,ERASER,QGraphicsEllipseItem,,
2026-01-19T18:29:22.141623,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,erase,ERASER,QGraphicsRectItem,,move
2026-01-19T18:29:28.348261,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,fill_color_change,,,,
2026-01-19T18:29:29.558966,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,fill_color_change,,,,
2026-01-19T18:29:30.764139,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,erase,ERASER,QGraphicsRectItem,,
2026-01-19T18:29:34.923144,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,tool_change,PEN,,,
2026-01-19T18:30:14.314837,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,assistant_auto_toggle,,,,True
2026-01-19T18:30:15.398724,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,assistant_auto_toggle,,,,False
2026-01-19T18:30:17.461819,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,invoke_help,ASSISTANT,,,
2026-01-19T18:30:17.462286,fe223114-830b-41e1-b2bb-d94c56fb175c,,,,ai_output,ASSISTANT,,,none:manual
2026-01-19T18:32:07.968475,fe223114-830b-41e1-b2bb-d94c56fb175c,H_PLUS_IA,,,test_start,,,,condition=H_PLUS_IA;3_tasks_fixed_order
2026-01-19T18:32:07.976459,fe223114-830b-41e1-b2bb-d94c56fb175c,H_PLUS_IA,cat,1,trial_start,,,,task=cat
2026-01-19T18:32:19.931087,fe223114-830b-41e1-b2bb-d94c56fb175c,H_PLUS_IA,cat,1,tool_change,ELLIPSE,,,
2026-01-19T18:32:22.819273,fe223114-830b-41e1-b2bb-d94c56fb175c,H_PLUS_IA,cat,1,ellipse_start,ELLIPSE,,,
