timestamp,session_id,condition,task_id,trial_index,event_type,tool,item_type,n_points,notes
2026-01-20T13:42:08.546290,8b0ba42d-4020-4eb7-9ff1-69aa52595944,,,,stroke_color_change,,,,
2026-01-20T13:42:08.548731,8b0ba42d-4020-4eb7-9ff1-69aa52595944,,,,fill_color_change,,,,
2026-01-20T13:42:19.895379,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,,,test_start,,,,condition=H_PLUS_IA;3_tasks_fixed_order
2026-01-20T13:42:19.897426,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,trial_start,,,,task=cat
2026-01-20T13:42:30.710862,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,tool_change,ELLIPSE,,,
2026-01-20T13:42:32.083591,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,ellipse_start,ELLIPSE,,,
2026-01-20T13:42:33.916538,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,ellipse_end,ELLIPSE,QGraphicsEllipseItem,,"x=403.0,y=235.0,w=188.0,h=182.0"
2026-01-20T13:42:35.346960,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,invoke_help,ASSISTANT,,,
2026-01-20T13:42:37.102189,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,user_action,ASSISTANT,,,accept:manual:CAT_EARS:ms=1754
2026-01-20T13:42:37.102438,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,assistant_accept,ASSISTANT,,,trigger=manual;sid=CAT_EARS;ms=1754
2026-01-20T13:42:39.650658,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,fill_color_change,,,,
2026-01-20T13:42:40.777395,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,ellipse_start,ELLIPSE,,,
2026-01-20T13:42:41.591613,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,ellipse_end,ELLIPSE,QGraphicsEllipseItem,,"x=446.0,y=296.0,w=17.0,h=16.0"
2026-01-20T13:42:42.158374,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,ellipse_start,ELLIPSE,,,
2026-01-20T13:42:43.739334,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,ellipse_end,ELLIPSE,QGraphicsEllipseItem,,"x=527.0,y=297.0,w=16.0,h=17.0"
2026-01-20T13:42:45.210644,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,tool_change,PEN,,,
2026-01-20T13:42:46.324634,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,pen_start,PEN,,,
2026-01-20T13:42:47.781252,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,pen_end,PEN,QGraphicsPathItem,62,
2026-01-20T13:42:48.824987,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,pen_start,PEN,,,
2026-01-20T13:42:49.646771,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,pen_end,PEN,QGraphicsPathItem,53,
2026-01-20T13:42:50.545325,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,pen_start,PEN,,,
2026-01-20T13:42:51.241598,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,pen_end,PEN,QGraphicsPathItem,63,
2026-01-20T13:42:52.147277,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,tool_change,LINE,,,
2026-01-20T13:42:53.066622,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_start,LINE,,,
2026-01-20T13:42:53.480324,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_end,LINE,QGraphicsLineItem,,"(415.0,315.0)->(298.0,314.0)"
2026-01-20T13:42:54.130327,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_start,LINE,,,
2026-01-20T13:42:54.702315,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_end,LINE,QGraphicsLineItem,,"(426.0,338.0)->(339.0,351.0)"
2026-01-20T13:42:55.158988,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_start,LINE,,,
2026-01-20T13:42:55.545226,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_end,LINE,QGraphicsLineItem,,"(421.0,366.0)->(325.0,403.0)"
2026-01-20T13:42:56.188675,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_start,LINE,,,
2026-01-20T13:42:56.588667,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_end,LINE,QGraphicsLineItem,,"(574.0,319.0)->(727.0,306.0)"
2026-01-20T13:42:57.045126,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_start,LINE,,,
2026-01-20T13:42:57.466124,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_end,LINE,QGraphicsLineItem,,"(583.0,349.0)->(699.0,376.0)"
2026-01-20T13:42:58.067670,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_start,LINE,,,
2026-01-20T13:42:58.495749,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,line_end,LINE,QGraphicsLineItem,,"(561.0,372.0)->(685.0,432.0)"
2026-01-20T13:43:00.975756,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,done_clicked,,,,
2026-01-20T13:43:00.976079,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,trial_end,,,,duration_s=41.078
2026-01-20T13:43:07.430608,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,cat,1,self_eval,TEST,,,similarity=0.900
2026-01-20T13:43:07.434453,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,trial_start,,,,task=castle
2026-01-20T13:43:09.647001,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,fill_color_change,,,,
2026-01-20T13:43:14.046868,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,line_start,LINE,,,
2026-01-20T13:43:14.826424,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,line_end,LINE,QGraphicsLineItem,,"(371.0,200.0)->(458.0,384.0)"
2026-01-20T13:43:15.550869,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,undo,HISTORY,,,
2026-01-20T13:43:17.914294,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,tool_change,RECT,,,
2026-01-20T13:43:18.890292,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,rect_start,RECT,,,
2026-01-20T13:43:20.125856,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,rect_end,RECT,QGraphicsRectItem,,"x=290.0,y=200.0,w=115.0,h=280.0"
2026-01-20T13:43:21.507832,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,invoke_help,ASSISTANT,,,
2026-01-20T13:43:23.704973,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,user_action,ASSISTANT,,,accept:manual:ROOF_TRIANGLE:ms=2196
2026-01-20T13:43:23.705249,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,assistant_accept,ASSISTANT,,,trigger=manual;sid=ROOF_TRIANGLE;ms=2196
2026-01-20T13:43:25.072235,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,rect_start,RECT,,,
2026-01-20T13:43:26.848104,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,rect_end,RECT,QGraphicsRectItem,,"x=664.0,y=201.0,w=114.0,h=277.0"
2026-01-20T13:43:27.172500,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,rect_start,RECT,,,
2026-01-20T13:43:28.257076,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,rect_end,RECT,QGraphicsRectItem,,"x=813.0,y=-42.0,w=89.0,h=97.0"
2026-01-20T13:43:29.015172,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,undo,HISTORY,,,
2026-01-20T13:43:30.925361,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,fill_color_change,,,,
2026-01-20T13:43:32.099738,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,tool_change,TRIANGLE,,,
2026-01-20T13:43:33.192588,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,triangle_start,TRIANGLE,,,
2026-01-20T13:43:34.717348,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,triangle_end,TRIANGLE,QGraphicsPolygonItem,,n_points=3
2026-01-20T13:43:36.051445,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,tool_change,RECT,,,
2026-01-20T13:43:37.488840,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,fill_color_change,,,,
2026-01-20T13:43:39.203188,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,rect_start,RECT,,,
2026-01-20T13:43:41.378491,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,rect_end,RECT,QGraphicsRectItem,,"x=406.0,y=242.0,w=259.0,h=237.0"
2026-01-20T13:43:47.582952,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,gen_add,GEN,,,Porte:porte_arrondie|prompt=
2026-01-20T13:43:51.231207,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,tool_change,SELECT,,,
2026-01-20T13:43:52.595174,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,select_press,SELECT,None,,
2026-01-20T13:43:53.347029,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,item_moved,SELECT,,,
2026-01-20T13:43:54.110226,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,select_press,SELECT,QGraphicsEllipseItem,,
2026-01-20T13:43:56.139749,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,item_moved,SELECT,,,
2026-01-20T13:44:04.604696,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,done_clicked,,,,
2026-01-20T13:44:04.604965,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,trial_end,,,,duration_s=57.170
2026-01-20T13:44:13.767642,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,castle,2,self_eval,TEST,,,similarity=0.900
2026-01-20T13:44:13.769509,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,trial_start,,,,task=car
2026-01-20T13:44:17.096433,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,fill_color_change,,,,
2026-01-20T13:44:23.999276,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,gen_add,GEN,,,Roue:jante_claire|prompt=
2026-01-20T13:44:33.340062,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,gen_add,GEN,,,Carrosserie:carrosserie_rouge|prompt=
2026-01-20T13:44:35.632037,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,tool_change,SELECT,,,
2026-01-20T13:44:36.828778,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,select_press,SELECT,None,,
2026-01-20T13:44:37.975272,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,item_moved,SELECT,,,
2026-01-20T13:44:38.604389,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,select_press,SELECT,QGraphicsRectItem,,
2026-01-20T13:44:39.605212,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,item_moved,SELECT,,,
2026-01-20T13:44:49.285342,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,select_press,SELECT,None,,
2026-01-20T13:44:50.729658,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,copy,SELECT,,,n=0
2026-01-20T13:44:51.251808,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,paste,SELECT,,,n=0
2026-01-20T13:44:53.851247,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,select_press,SELECT,None,,
2026-01-20T13:44:54.686409,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,item_moved,SELECT,,,
2026-01-20T13:44:56.075276,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,select_press,SELECT,None,,
2026-01-20T13:44:57.595632,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,done_clicked,,,,
2026-01-20T13:44:57.595971,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,trial_end,,,,duration_s=43.826
2026-01-20T13:45:04.595666,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,self_eval,TEST,,,similarity=0.980
2026-01-20T13:45:04.596267,8b0ba42d-4020-4eb7-9ff1-69aa52595944,H_PLUS_IA,car,3,test_end,,,,completed
2026-01-20T13:46:03.204930,eebc3bb0-b9b7-4a9f-af30-597eea0fbd22,,,,stroke_color_change,,,,
2026-01-20T13:46:03.207414,eebc3bb0-b9b7-4a9f-af30-597eea0fbd22,,,,fill_color_change,,,,
2026-01-20T13:46:13.963292,eebc3bb0-b9b7-4a9f-af30-597eea0fbd22,H_PLUS_IA,,,test_start,,,,condition=H_PLUS_IA;3_tasks_fixed_order
