timestamp,session_id,condition,task_id,trial_index,event_type,tool,item_type,n_points,notes
2026-01-20T07:30:34.507029,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,,,,stroke_color_change,,,,
2026-01-20T07:30:34.518492,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,,,,fill_color_change,,,,
2026-01-20T07:30:48.674153,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,,,test_start,,,,condition=H_PLUS_IA;3_tasks_fixed_order
2026-01-20T07:30:48.685394,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,trial_start,,,,task=cat
2026-01-20T07:30:51.493926,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,tool_change,ELLIPSE,,,
2026-01-20T07:30:55.387659,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,ellipse_start,ELLIPSE,,,
2026-01-20T07:30:58.186836,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,ellipse_end,ELLIPSE,QGraphicsEllipseItem,,"x=52.0,y=216.0,w=176.0,h=176.0"
2026-01-20T07:30:59.898965,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,invoke_help,ASSISTANT,,,
2026-01-20T07:30:59.899431,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,ai_output,ASSISTANT,,,shown:manual:CAT_EARS
2026-01-20T07:31:01.272512,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,user_action,ASSISTANT,,,accept:manual:CAT_EARS:ms=1373
2026-01-20T07:31:02.952653,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,tool_change,ELLIPSE,,,
2026-01-20T07:31:12.034675,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,assistant_auto_toggle,,,,True
2026-01-20T07:31:13.556778,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,ellipse_start,ELLIPSE,,,
2026-01-20T07:31:14.303719,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,ellipse_end,ELLIPSE,QGraphicsEllipseItem,,"x=101.0,y=267.0,w=15.0,h=19.0"
2026-01-20T07:31:14.304597,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,ai_output,ASSISTANT,,,none:auto
2026-01-20T07:31:16.777809,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,invoke_help,ASSISTANT,,,
2026-01-20T07:31:16.778408,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,ai_output,ASSISTANT,,,none:manual
2026-01-20T07:32:04.577563,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,tool_change,ELLIPSE,,,
2026-01-20T07:32:06.600995,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,fill_color_change,,,,
2026-01-20T07:32:08.110722,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,ellipse_start,ELLIPSE,,,
2026-01-20T07:32:09.168719,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,ellipse_end,ELLIPSE,QGraphicsEllipseItem,,"x=98.0,y=278.0,w=16.0,h=19.0"
2026-01-20T07:32:09.169618,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,ai_output,ASSISTANT,,,none:auto
2026-01-20T07:32:10.826244,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,tool_change,SELECT,,,
2026-01-20T07:32:11.539641,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,select_press,SELECT,QGraphicsEllipseItem,,
2026-01-20T07:32:13.357988,b33e8ad4-f4c6-4cfe-891e-8699f77d8225,H_PLUS_IA,cat,1,select_press,SELECT,QGraphicsEllipseItem,,
